scores,avg_score
-41.9056989130736,-41.6173631208949
-40.6690201855361,-41.6177129060663
-41.6893914988352,-41.6029944510512
-41.8464627737332,-41.5984875817591
-41.6218715137437,-41.5987134581384
-41.5513152739028,-41.6047486023633
-41.5343064563566,-41.6089717990112
-41.3209239807603,-41.6094209974372
-40.7901772813851,-41.6024958367861
-41.7838359314912,-41.5968184063803
-41.4447769818874,-41.5927791969827
-41.835659410265,-41.5876351447889
-41.4604062161931,-41.5894584575977
-40.7803820036907,-41.5895538104886
-41.1453325123281,-41.5811296678501
-41.5625089036679,-41.5732794499799
-41.5443355024434,-41.5711644952328
-40.6801215863389,-41.56913797433
-41.6918671849268,-41.556927550214
-41.2096603133481,-41.5581273904018
-40.0587317033427,-41.5553571957068
-39.1371267335452,-41.5403668328122
-39.3930397094239,-41.5159347153992
-38.9956138163483,-41.4953677489472
-39.3181202759071,-41.467828268952
-39.3651579221379,-41.4443528793386
-38.785338711409,-41.4236977255522
-39.5478847140628,-41.3975196861476
-39.5716434578735,-41.3758387640739
-39.1014892945356,-41.357419559013
-38.7175694447317,-41.3284766572868
-38.7997980101056,-41.3000293773858
-39.1636291554169,-41.279500735826
-39.0270193282224,-41.2617062207152
-39.3694141154544,-41.2422440861828
-39.3043251310173,-41.2254029844854
-39.3208876253751,-41.1987593865453
-39.1612721816758,-41.175530506588
-39.6778250795843,-41.1497756899129
-39.1904283277783,-41.1258060437747
-38.6116841621156,-41.1008677167681
-39.1441096585965,-41.0718723839297
-39.1339954294987,-41.0443999734084
-39.0583723544286,-41.0227507049497
-39.728280432147,-40.9966275744278
-38.5464803056251,-40.9798002583083
-38.9618864416623,-40.9544627727476
-39.1994074283009,-40.9299733129325
-38.6993839565628,-40.90828306529
-38.9646582706573,-40.8769015043875
-38.7837168723156,-40.8575987318491
-38.8336333970136,-40.8250295786055
-38.8707008028343,-40.8038671261603
-38.9843698196285,-40.7763582622552
-38.8228469864652,-40.7524738509706
-38.9620990702521,-40.7197569758934
-39.3721333664047,-40.6928851693076
-39.1559407485447,-40.6695007896257
-38.7985419404505,-40.6536409839126
-38.554243983685,-40.6258915244141
-38.647508710513,-40.5920114793966
-39.0777496342383,-40.5658783310566
-39.2577457717468,-40.5354644940519
-38.9633731866013,-40.5155874532738
-38.7049450654806,-40.4849239398579
-38.8003322924404,-40.4516800399725
-39.2040864785402,-40.4226210192649
-39.1221280897,-40.3993158214454
-38.4331920360342,-40.3737169280038
-38.7029303533543,-40.3408819065209
-38.4439051906523,-40.3106866768422
-39.0947674632323,-40.283920491174
-39.4248519477336,-40.2522062088649
-38.9268519129559,-40.233103321194
-38.8578168686088,-40.2078943410172
-39.2105112974431,-40.1813126275859
-38.8228161185066,-40.1514488189048
-38.7813106227236,-40.1208799443616
-38.5107253820556,-40.0954148666272
-39.328513120644,-40.0606189160518
-38.6973923516617,-40.0371110881877
-38.6782850408899,-40.0039659680743
-38.8649581919548,-39.978659565624
-38.4515295240209,-39.9474629800243
-38.5932050081374,-39.9145705782057
-39.28419003379,-39.8846801332268
-38.6863690926468,-39.858789688876
-39.3109690067339,-39.8243121094493
-38.8143928300965,-39.8059159306057
-39.0497344624386,-39.7786502891724
-38.6544606716152,-39.7521522488681
-39.4488158839921,-39.7266748837396
-38.4207073272737,-39.7030051421971
-38.604716855319,-39.6722199913231
-38.9145403105863,-39.6481370061479
-38.6773227423893,-39.6221547421449
-38.6966634736155,-39.5912242678403
-38.9503711309141,-39.5670282957787
