scores,avg_score
-83.7034213697138,-94.3877019939653
-84.8622612869796,-94.3070689682792
-77.8384728830376,-94.1345317018471
-79.1528992516741,-93.9627454021456
-80.1543778391573,-93.7045667287206
-79.4195088872011,-93.5749078821782
-87.7600857189289,-93.3934389816612
-81.5431347683312,-93.2635850561347
-78.721638793672,-93.1084406202962
-83.8896024085054,-92.8804067489209
-85.690042792069,-92.7223545844328
-81.3878560980677,-92.5613644167556
-82.3212612426825,-92.437820080652
-85.5607831248518,-92.2379079532582
-72.8761810194126,-92.0102620447179
-88.696952411533,-91.8022104552858
-82.1181026295345,-91.7704895230278
-85.3134614559019,-91.5843712036701
-83.5945259818967,-91.4354507072419
-77.7778132138893,-91.2398096768349
-80.5030643033548,-91.0524044386622
-84.0212226318354,-90.9096531682551
-81.525837505666,-90.7574949191822
-80.5554201302232,-90.5917989386218
-85.5179514941088,-90.3044824121428
-77.7686452770033,-90.1149645884028
-83.9358375711467,-89.8525196140012
-83.1357100513947,-89.6871366233517
-85.6874182797905,-89.5915853629232
-82.7059339181684,-89.4019379221781
-80.9949223297055,-89.2252415618894
-77.5720316801786,-89.0126142138945
-88.0439699646798,-88.7800350813997
-78.9065640946898,-88.738390563724
-86.7377681816993,-88.5873409078296
-83.2048650293448,-88.4768858148131
-75.7115314357203,-88.411885556306
-82.8076589027948,-88.1532007624125
-88.1064468812938,-88.0238545775029
-71.4660595225533,-87.9791355392855
-80.5804993116607,-87.8697954510394
-85.2294784507157,-87.8019654999899
-76.3649320550373,-87.6956975066766
-76.2980644454211,-87.4489826092006
-82.1082362246472,-87.2503969212104
-73.7791783286546,-87.1948929633403
-82.9593910214006,-86.9419463653583
-83.5911640697344,-86.7416488244378
-83.1847209194389,-86.558347989382
-82.7184027499179,-86.4412290194126
-69.8898227111537,-86.2999013263154
-87.69197710237,-85.9389706543105
-84.0765625442819,-85.8147494186423
-81.5078719541221,-85.6689791535716
-79.3426844429798,-85.3929578437704
-77.4098079269485,-85.2313602473587
-78.7467752681918,-84.9611871504059
-85.0559098716565,-84.7532462652926
-83.4324153131972,-84.5896159436719
-78.3532349903896,-84.3686653084259
-85.8652032771599,-84.2032207743806
-75.5294080083486,-84.0874694462212
-81.3327207747651,-83.7869149741195
-86.2538980189588,-83.571496890511
-85.0512610338244,-83.4518471989337
-75.8982502491339,-83.2135747350428
-86.4825079317748,-82.9817289853319
-86.4962320958274,-82.8921136865235
-93.0706712475583,-82.8537875111642
-78.8396435233915,-82.8181330169969
-93.1667736297445,-82.6417536863481
-86.3250066548446,-82.6434762454988
-93.9439018184487,-82.5702849543688
-102.904251689981,-82.5836890510395
-113.543654301054,-82.7533814345708
-89.0061122554011,-83.0870175632495
-99.0861932175606,-83.1095168029881
-104.518391654167,-83.2391245413709
-112.324419564629,-83.4058650143422
-126.660093806954,-83.6900250527852
